id,vet_passport_id,seller_id,pet_name,species,pet_age,color,pet_gender,breed,pedigree,good_with_children,good_with_animals,pet_description,is_active,price
86f6aa24-ee38-49ae-b3c8-65402402255e,42bbdc46-4c97-4441-9d9c-d3974953ab47,e828ec6d-a8ee-40c9-974a-c550349c2441,Регина,Кошка,7,Белый,Мальчик,Британская,True,False,True,Спокойный характер,True,30366.67
63bbf821-4a4d-49a7-8e83-b323cb35772e,f2ea46a7-44f8-42bb-8965-0d0105a8aeb6,abd7831c-5aaa-45df-ad2c-dbaba0eda8bd,Василиса,Хомяк,3,Коричневый,Мальчик,Джунгарский,False,False,True,Хорошо идет на контакт,True,4079.42
8ab97102-6fe5-4a91-833c-59a91967dcd4,21b53a21-755b-49a7-a613-b76c3774583f,c1c4afc1-be51-41de-944a-5d8abcc64013,Василиса,Кошка,10,Золотистый,Девочка,Шотландская вислоухая,True,True,True,Очень ласковый и дружелюбный,False,27476.92
cba7bd13-32b8-44fc-b0ba-649af518976f,a7768499-73ec-41c2-a1fc-78e325564c45,e828ec6d-a8ee-40c9-974a-c550349c2441,Степан,Попугай,15,Полосатый,Мальчик,Корелла,True,False,False,Любит детей и внимание,False,16647.71
9778cc58-a3d5-4512-97df-f7d44783cfcc,881053ef-c01f-4800-b898-eb7f6ac1ef3d,abd7831c-5aaa-45df-ad2c-dbaba0eda8bd,Севастьян,Собака,5,Бежевый,Девочка,Йоркширский терьер,True,True,True,Очень ласковый и дружелюбный,False,36590.99
dd7f9eaa-c0c7-4d99-b5ba-2c6eb2c720dc,45aea336-8174-43c3-83a6-f3dd6834bdbd,a7c381c2-c0e4-4e4c-843d-114fcb5fc3af,Потап,Попугай,15,Коричневый,Девочка,Корелла,True,True,True,Спокойный характер,True,19403.2
9f8bb3c0-1059-4ad8-a2d2-9b0a9fd62cb0,9d486d2c-a40e-4dbe-b5c6-233f8829f3aa,e828ec6d-a8ee-40c9-974a-c550349c2441,Демьян,Кошка,4,Рыжий,Мальчик,Мейн-кун,False,False,True,Приучен к лотку/пеленке,True,10680.98
34267202-07cb-46dc-bd43-0fab47fbfdb2,509fa3c6-73b9-4140-86af-25ce7b0ee4ca,e828ec6d-a8ee-40c9-974a-c550349c2441,Ефрем,Хомяк,9,Серый,Мальчик,Кэмпбелла,True,True,False,Спокойный характер,False,524.67
ebbab2e1-ed69-421c-a36c-dd2b3f467b42,5be10880-d161-4c3b-b336-58e5fc52d282,84377d3c-2b73-4109-8046-d786355709c1,Василиса,Кролик,9,Черный,Девочка,Декоративный кролик,False,False,True,Здоровый и ухоженный питомец,False,1804.4
504f172a-1b46-4719-8e3f-08ad55428cfd,496a6b04-7743-45fa-b0a5-da86f3f5b087,abd7831c-5aaa-45df-ad2c-dbaba0eda8bd,Ираклий,Хомяк,14,Рыжий,Мальчик,Сирийский,True,False,True,Любит детей и внимание,True,4130.8
a6afb745-2990-4594-bd77-87de37232693,7be0f297-f050-408e-9738-16a03973821b,a7c381c2-c0e4-4e4c-843d-114fcb5fc3af,Ираклий,Хомяк,13,Коричневый,Мальчик,Джунгарский,False,True,False,Активный и игривый,True,6088.35
e842a65d-d1d9-4e9a-9082-19b4798cc84e,21b53a21-755b-49a7-a613-b76c3774583f,a7c381c2-c0e4-4e4c-843d-114fcb5fc3af,Фортунат,Кошка,12,Золотистый,Мальчик,Шотландская вислоухая,False,True,False,Активный и игривый,False,28334.91
edf828fe-777f-45b7-a95c-489d3c28d576,666578a5-0993-48cc-975a-463852d4ed54,c1c4afc1-be51-41de-944a-5d8abcc64013,Макар,Хомяк,6,Коричневый,Девочка,Кэмпбелла,True,True,False,Подойдет для семьи,False,2414.87
58b13510-8c9c-4970-9f69-1f3e194e90d0,dbdb9c2b-1ebd-4ba1-bb43-ba93379c498d,e828ec6d-a8ee-40c9-974a-c550349c2441,Роман,Попугай,9,Белый,Девочка,Корелла,False,True,False,Здоровый и ухоженный питомец,False,18381.36
54ed7e72-8849-46e4-b118-71fd33a85451,666578a5-0993-48cc-975a-463852d4ed54,84377d3c-2b73-4109-8046-d786355709c1,Октябрина,Попугай,6,Пятнистый,Мальчик,Волнистый попугай,False,False,True,Очень ласковый и дружелюбный,False,20401.68
